year;name;type;category;place;canton;tw_account;tw_url;tw_parse;tw_favorites;tw_followers;tw_friends;tw_statuses;fb_account;fb_url;fb_favorites;fb_followers
1850;Bank Sparhafen Zürich AG;Bank;Regional banks and savings banks;Zürich;ZH;NA;NA;NA;;;;;Bank-Sparhafen;https://www.facebook.com/pages/Bank-Sparhafen-Z%C3%BCrich/568635373256912;4;0
1851;BBO Bank Brienz Oberhasli AG;Bank;Regional banks and savings banks;Brienz BE;BE;NA;NA;NA;;;;;BBO Bank Brienz Oberhasli AG;https://www.facebook.com/BBOBank/;2003;1966
1998;BS Bank Schaffhausen AG;Bank;Regional banks and savings banks;Hallau;SH;NA;NA;NA;;;;;Clientis-BS-Bank-Schaffhausen;https://www.facebook.com/pages/Clientis-BS-Bank-Schaffhausen/232591266764902;10;0
1885;Clientis Bank im Thal AG;Bank;Regional banks and savings banks;Balsthal;SO;NA;NA;NA;;;;;Clientis-Bank-im-Thal-AG;https://www.facebook.com/pages/Clientis-Bank-im-Thal-AG/158708684172053;0;0
1874;Clientis Bank Oberuzwil AG;Bank;Regional banks and savings banks;Oberuzwil;SG;NA;NA;NA;;;;;Clientis Bank Oberuzwil;https://www.facebook.com/oberuzwil.clientis.ch/;60;61
1994;Clientis EB Entlebucher Bank AG;Bank;Regional banks and savings banks;Schüpfheim;LU;NA;NA;NA;;;;;NA;NA;NA;NA
1817;Ersparniskasse Schaffhausen AG;Bank;Regional banks and savings banks;Schaffhausen;SH;NA;NA;NA;;;;;Ersparniskasse Schaffhausen AG;https://www.facebook.com/ErsparniskasseSchaffhausen/;179;177
1863;Leihkasse Stammheim AG;Bank;Regional banks and savings banks;Oberstammheim;ZH;NA;NA;NA;;;;;Leihkasse Stammheim AG;https://www.facebook.com/Leihkasse-Stammheim-AG-1618044848311693/;11;11
1903;Regiobank Männedorf AG;Bank;Regional banks and savings banks;Männedorf;ZH;NA;NA;NA;;;;;Regiobank-M%C3%A4nnedorf;https://www.facebook.com/pages/biz/local/Regiobank-M%C3%A4nnedorf/105473519486997;2;0
1874;SB Saanen Bank AG;Bank;Regional banks and savings banks;Saanen;BE;NA;NA;NA;;;;;SB Saanen Bank AG;https://www.facebook.com/SaanenBank/;403;401
1850;Spar- und Leihkasse Bucheggberg AG;Bank;Regional banks and savings banks;Lüterswil-Gächliwil;SO;NA;NA;NA;;;;;NA;NA;NA;NA
1895;Spar- und Leihkasse Thayngen AG;Bank;Regional banks and savings banks;Thayngen;SH;NA;NA;NA;;;;;Clientis%20Spar-%20und%20Leihkasse%20Thayngen;https://www.facebook.com/pages/Clientis Spar- und Leihkasse Thayngen/587105604707755;3;0
1903;Spar+Leihkasse Riggisberg AG;Bank;Regional banks and savings banks;Riggisberg;BE;NA;NA;NA;;;;;SparLeihkasse-Riggisberg;https://www.facebook.com/pages/SparLeihkasse-Riggisberg/150655591636821;8;0
1812;Sparkasse Schwyz AG;Bank;Regional banks and savings banks;Schwyz;SZ;NA;NA;NA;;;;;Sparkasse Schwyz AG;https://www.facebook.com/Sparkasse-Schwyz-AG-1819098274981205/;0;0
1997;Valiant Bank AG;Bank;Regional banks and savings banks;Bern;BE;ValiantBank;https://twitter.com/ValiantBank;ValiantBank;;;;;Valiant;https://www.facebook.com/valiantbank.ch/;2097;2091
1851;Zürcher Landbank AG;Bank;Regional banks and savings banks;Elgg;ZH;NA;NA;NA;;;;;Zürcher Landbank;https://www.facebook.com/zuercherlandbank/;617;602
2017;www.flink.ai;Fintech;Analytics;Zürich;ZH;NA;NA;NA;;;;;NA;NA;NA;NA
2013;www.moneyland.ch;Fintech;Analytics;Zürich;ZH;moneyland.ch;https://twitter.com/moneyland_ch;moneyland_ch;;;;;moneyland.ch;https://www.facebook.com/moneylandCH/;2761;2736
1996;www.crealogix.com;Fintech;Banking Infrastructure;Zürich;ZH;CREALOGIX Group_en;https://twitter.com/CREALOGIX_en;CREALOGIX_en;;;;;CREALOGIX Gruppe;https://www.facebook.com/Crealogix/;347;341
2011;www.moneypark.ch;Fintech;Banking Infrastructure;Schwyz;SZ;MoneyPark;https://twitter.com/MyMoneyPark;MyMoneyPark;;;;;MoneyPark;https://www.facebook.com/moneypark/;4088;4013
2012;www.moribono.ch;Fintech;Banking Infrastructure;Lucerne;LU;moribono;https://twitter.com/moribono;moribono;;;;;moribono;https://www.facebook.com/moribono/;101;89
2016;www.sonect.net;Fintech;Banking Infrastructure;Zürich;ZH;SONECT;https://twitter.com/sonectme;sonectme;;;;;SONECT;https://www.facebook.com/sonectme/;427;434
2017;www.taxlevel.ch;Fintech;Banking Infrastructure;Zürich;ZH;NA;NA;NA;;;;;NA;NA;NA;NA
2013;www.knip.ch;Fintech;Banking Infrastructure;Zürich;ZH;Knip;https://twitter.com/Knip;Knip;;;;;Knip;https://www.facebook.com/KnipDE/;6882;6795
2015;www.anivo.ch;Fintech;Banking Infrastructure;Zug;ZG;Anivo;https://twitter.com/AnivoInsurance;AnivoInsurance;;;;;ANIVO;https://www.facebook.com/anivoinsurancebroker/;294;291
2018;www.imbursepayments.com;Fintech;Banking Infrastructure;Zürich;ZH;Imburse Transaction Platform;https://twitter.com/ImburseAG;ImburseAG;;;;;NA;NA;NA;NA
2017;www.oyoba.net;Fintech;Banking Infrastructure;Zürich;ZH;Oyoba Inc.;https://twitter.com/oyobainc;oyobainc;;;;;Oyoba Inc.;https://www.facebook.com/oyobainc/;324;325
2015;www.3circlefunding.ch;Fintech;Deposit & Lending;Zürich;ZH;3circlefunding;https://twitter.com/3circlefunding;3circlefunding;;;;;3circlefunding GmbH;https://www.facebook.com/3circlefunding/;101;101
2010;www.c-crowd.com;Fintech;Deposit & Lending;Zürich;ZH;c-crowd AG;https://twitter.com/ccrowd;ccrowd;;;;;C-crowd;https://www.facebook.com/swisscrowdfunding/;1133;1096
2017;www.creditfolio.ch;Fintech;Deposit & Lending;Basel;BS;Creditfolio;https://twitter.com/Creditfolio;Creditfolio;;;;;Creditfolio;https://www.facebook.com/Creditfolio/;46;48
2015;www.creditworld.ch;Fintech;Deposit & Lending;Zug;ZG;creditworld;https://twitter.com/creditworld_ag;creditworld_ag;;;;;creditworld AG;https://www.facebook.com/creditworldAG/;229;230
2016;www.crowd4cash.ch;Fintech;Deposit & Lending;Zug;ZG;Crowd4Cash;https://twitter.com/Crowd4Cash;Crowd4Cash;;;;;Crowd4Cash;https://www.facebook.com/Crowd4Cash-1445248278914044/;12;12
2013;www.go-beyond.biz;Fintech;Deposit & Lending;Zürich;ZH;Go Beyond Investing;https://twitter.com/gobeyondinvest;gobeyondinvest;;;;;Go Beyond Investing;https://www.facebook.com/GoBeyondInvesting/;654;664
