Year;Name;Type;Category;Place;Canton;Account_TW;Account_FB
2015;www.3circlefunding.ch;Fintech;Deposit & Lending;Zürich;ZH;3circlefunding;3circlefunding
2010;www.c-crowd.com;Fintech;Deposit & Lending;Zürich;ZH;ccrowd;swisscrowdfunding
2017;www.creditfolio.ch;Fintech;Deposit & Lending;Basel;BS;Creditfolio;Creditfolio
2015;www.creditworld.ch;Fintech;Deposit & Lending;Zug;ZG;creditworld_ag;creditworldAG
2016;www.crowd4cash.ch;Fintech;Deposit & Lending;Zug;ZG;Crowd4Cash;Crowd4Cash-1445248278914044
2013;www.go-beyond.biz;Fintech;Deposit & Lending;Zürich;ZH;gobeyondinvest;GoBeyondInvesting
2016;www.hypo-scout.ch;Fintech;Deposit & Lending;Zürich;ZH;Hyposcout_AG;Hyposcout
2017;www.hypotheko.ch;Fintech;Deposit & Lending;Basel-Country;BL;hypotheko;hypotheko
2015;www.lend.ch;Fintech;Deposit & Lending;Zürich;ZH;LEND_CH;lend.ch
2016;www.loanboox.ch;Fintech;Deposit & Lending;Zürich;ZH;loanboox;loanboox
2015;www.swisspeers.ch;Fintech;Deposit & Lending;Zürich;ZH;swisspeers;swisspeers.ch
2017;www.bancor.network;Fintech;Distributed Ledger Technology;Zug;ZG;bancor?lang=de;bancor
2017;www.coreledger.net;Fintech;Distributed Ledger Technology;Zug;ZG;CoreLedger;coreledger.ag.1
2017;www.cryptofinance.ch;Fintech;Distributed Ledger Technology;Zug;ZG;CryptoFinanceAG;CryptoFinanceAG
2015;www.digitalbitbox.com;Fintech;Distributed Ledger Technology;Basel-Country;BL;DigitalBitbox;Digital-Bitbox-130791914294135
2015;www.iprotus.com;Fintech;Distributed Ledger Technology;Zug;ZG;i_protus;iprotus
2013;www.lykke.com;Fintech;Distributed Ledger Technology;Zug;ZG;lykke;LykkeCity
2002;www.payment21.com;Fintech;Distributed Ledger Technology;St. Gallen;SG;Payment21_XBT;Payment21
2015;www.breadapp.com;Fintech;Distributed Ledger Technology;Zürich;ZH;breadapp;BreadApp
2014;www.shapeshift.io;Fintech;Distributed Ledger Technology;Zug;ZG;ShapeShift_io;shapeshiftexchange
2017;jibrel.network;Fintech;Distributed Ledger Technology;Zug;ZG;JibrelNetwork;jibrelnetwork
2013;www.bitcoinsuisse.ch;Fintech;Distributed Ledger Technology;Zug;ZG;BitcoinSuisseAG;BitcoinSuisse
2015;www.3rd-eyes.com;Fintech;Investment Management;Zürich;ZH;inside_3rd_eyes;3rdeyesnavigationsystem
2012;www.aaaccell.ch;Fintech;Investment Management;Zürich;ZH;AAAccell1;NA
2014;www.bbanalytics.biz;Fintech;Investment Management;Zug;ZG;BnBAnalytics;NA
2016;www.clearminds.ch;Fintech;Investment Management;Basel;BS;ClearMindsInv;clearminds.ch
2015;www.descartes-finance.com;Fintech;Investment Management;Zug;ZG;DescartesFin;descartesfinance
2011;www.investory.ch;Fintech;Investment Management;Zürich;ZH;investory_io;investory.io
2014;www.purevaluemetrics.com;Fintech;Investment Management;Schwyz;SZ;PureValueMetric;NA
2016;www.selmafinance.ch;Fintech;Investment Management;Schwyz;SZ;SelmaFinance;selma.finance
2015;www.simplewealth.ch;Fintech;Investment Management;Zürich;ZH;SimpleWealth;Simplewealth
2015;www.smartmoneymatch.com;Fintech;Investment Management;Zug;ZG;SmartMoneyMatch;SmartMoneyMatch
2003;www.spectravest.ch;Fintech;Investment Management;Berne;BE;spectravest;spectravest
2013;www.truewealth.ch;Fintech;Investment Management;Zürich;ZH;True_Wealth_;truewealthag
2017;www.visionand.ch;Fintech;Investment Management;Zug;ZG;visionandch;NA
2016;www.werthstein.com;Fintech;Investment Management;Zürich;ZH;werthstein;werthstein
2015;www.crowdhouse.ch;Fintech;Investment Management;Zürich;ZH;crowdhouse_ch;crowdhouseCH
2017;www.ecollect.ch;Fintech;Payment;Schwyz;SZ;ecollect;ecollect
2013;www.muume.com;Fintech;Payment;Zug;ZG;MUUME_digital;MUUMEdigital
2014;www.sweepay.ch;Fintech;Payment;Zug;ZG;SweePay_ltd;NA
2014;www.twint.ch;Fintech;Payment;Berne;BE;TWINT_AG;twintwallet
